CatalogueNumber,Institution,Long,Lat,Country,Region,Island,GeneralLocality,SpecificLocality,InitialSpeciesID,Sex,SVL,TL,ED,OD,HW,HD,HL,HdL,FbL,FtL,HbL,MidSR,VerSC,PoPV,UpPV,SL,IL,SlF3,SlT4,NS,FnsH,SnsH,FnsW,SnsW,CS
349923,KU,123.8313,13.7316,Philippines,Luzon,Luzon,Municipality of Caramoan,Barangay Hanopol; Hanopol River (Dam vicinity),Bronchocela marmorata,f,80.19,cut,2.16,6.74,11.9,10.41,21.79,17.42,43.38,32.04,73.12,50,35,4,1,11,12,30,36,11,2,2,1,1,6
329327,KU,121.2032,15.0333,Philippines,Luzon,Luzon,Municipality of Dona Remedios Trinidad,"Barangay Kabayunan, Sitio Langud, Langud River, Angat Watershed",Bronchocela marmorata,f,83.2,regen,2.24,7.07,11.93,10.29,21.67,15.61,43.71,29.35,69.89,49,30,3,1,9,9,25,30,12,1,1,0.5,0.5,6
305472,KU,123.56905,13.73609,Philippines,Luzon,Luzon,Municipality of Lagonoy,Barangay Manamoc,Bronchocela cristatella,f,83.26,250,2.51,7.18,11.04,10.55,21.61,16.32,41.24,29.47,66.18,46,30,4,1,10,10,28,32,9,3,3,1.5,1.5,6
276647,KU,121.5461,14.6475,Philippines,Luzon,Luzon,Municipality of Infanta,"Barangay Magsaysay; Infanta-Marikina Highway, Southern Sierra Madre Mountain Range",Bronchocela marmorata,f,83.36,282,2.23,6.99,11.92,11.63,22.65,16.91,45.32,32.17,73.17,53,32,4,1,10,10,28,32,9,3,3,1,1,7
347782,KU,124.0818,12.6991,Philippines,Luzon,Luzon,Municipality of Irosin,"Barangay Cawayan, Mt. Cawayan base camp",Bronchocela marmorata,f,83.72,278,2.55,6.61,11.97,10.27,21.26,17.09,44.19,31.56,73.12,56,34,2,1,10,11,27,32,10,4,3,1,1,6
320284,KU,122.06122,18.22816,Philippines,Luzon,Luzon,Municipality of Gonzaga,"Barangay Santa Clara, Purok 7",Bronchocela cristatella,f,84.26,278,2.39,7.37,11.26,10.71,22.05,19.85,46.09,31.66,71.88,48,36,4,1,10,11,29,34,12,1.5,1.5,1,1,6
347797,KU,124.07613,12.70489,Philippines,Luzon,Luzon,Municipality of Irosin,"Barangay Cawayan, Mt. Cawayan base camp",Bronchocela marmorata,f,85.73,284,2.51,7.46,12.01,10.45,21.74,17.86,46.68,32.85,74.52,49,31,3,1,8,9,26,35,9,2,3,1,1,5
276637,KU,121.5931,14.7068,Philippines,Luzon,Luzon,Municipality of Infanta,"Barangay Magsaysay; Infanta-Marikina Highway, Southern Sierra Madre Mountain Range",Bronchocela marmorata,f,85.84,278,2.75,6.9,12.09,10.67,22.6,17.3,44.95,33.22,72.83,48,34,4,1,10,11,27,35,11,4,4,1,1,7
329324,KU,121.2032,15.0333,Philippines,Luzon,Luzon,Municipality of Dona Remedios Trinidad,"Barangay Kabayunan, Sitio Langud, Langud River, Angat Watershed",Bronchocela marmorata,f,86.18,259,2.41,6.69,11.7,10.34,22.29,17.17,45.57,32.76,76.02,59,32,4,1,9,10,28,35,10,2,2,1,1,6
329323,KU,121.2032,15.0333,Philippines,Luzon,Luzon,Municipality of Dona Remedios Trinidad,"Barangay Kabayunan, Sitio Langud, Langud River, Angat Watershed",Bronchocela marmorata,f,87.85,290,2.21,7.17,11.72,10.1,22.91,18.31,44.51,32.35,73.91,57,34,4,1,9,10,27,33,12,3,2,1,1,6
