"","GMYC_spec","sample_name"
"1",1,"ACD_1030_Cavite_Luzon_PH"
"2",1,"KU_305473_Camarines_Norte_Luzon_PH"
"3",1,"KU_326254_Burdeos_Polillo_PH"
"4",2,"KU_323046_Aurora_Luzon_PH"
"5",2,"KU_330734_Laguna_Luzon_PH"
"6",2,"KU_328930_Bulacan_Luzon_PH"
"7",2,"RMB_4173_Zambales_Luzon_PH"
"8",3,"KU_330106_Cagayan_Luzon_PH"
"9",3,"KU_305476_Kalinga_Luzon_PH"
"10",3,"KU_329535_Ilocos_Norte_Luzon_PH"
"11",4,"RMB_4191_Nueva_Vizcaya_Luzon_PH"
"12",4,"RMB_4204_Callao_Caves_Luzon_PH"
"13",5,"TNHC_62724_Albay_Luzon_PH"
"14",5,"TNHC_62726_Camarines_Sur_Luzon_PH"
"15",6,"KU_302489_Victoria_Mindoro_PH"
"16",6,"KU_303771_Bongabong_Mindoro_PH"
"17",7,"TNHC_57934_Davao_Mindanao_PH"
"18",7,"ACD_5650_Cotabato_Mindanao_PH"
"19",7,"KU_327282_South_Cotabato_Mindanao_PH"
"20",7,"PNM_1182_Davao_Mindanao_PH"
"21",7,"RMB_3792_Davao_Mindanao_PH"
"22",8,"KU_309860_Mambajao_Camiguin_PH"
"23",8,"KU_309862_Mambajao_Camiguin_PH"
"24",9,"KU_324433_Bilar_Bohol_PH"
"25",9,"KU_324438_Sierra_Bullones_Bohol_PH"
"26",9,"KU_326249_Antequera_Bohol_PH"
"27",10,"KU_311125_Baybay_Leyte_PH"
"28",10,"ACD_7229_Sogod_Leyte_PH"
"29",10,"KU_305471_Baybay_Leyte_PH"
"30",11,"KU_344140_Eastern_Samar_Samar_PH"
"31",11,"CDS_6959_Western_Samar_Samar_PH"
"32",11,"KU_337266_Eastern_Samar_Samar_PH"
"33",11,"KU_336463_Western_Samar_Samar_PH"
"34",11,"KU_344139_Eastern_Samar_Samar_PH"
"35",12,"KU_305477_Western_Samar_Samar_PH"
"36",12,"KU_337267_Eastern_Samar_Samar_PH"
"37",13,"ACD_6339_Burgos_Siargao_PH"
"38",13,"RMB_16896_Misamis_Oriental_Mindanao_PH"
"39",14,"B_celebensis_MVZ_253957_North_Sulawesi_ID"
"40",14,"B_sp_BSI_156_SulutraKlabat"
"41",15,"KU_327279_Palawan_PH"
"42",15,"KU_309403_Palawan_PH"
"43",15,"TNHC_57937_Palawan_PH"
"44",16,"KU_327277_Palawan_PH"
"45",16,"KU_311390_Palawan_PH"
"46",16,"KU_311398_Palawan_PH"
"47",17,"B_cristatella_LSUHC_12104_Cameron_Highlands_MY"
"48",17,"B_cristatella_LSUHC_12105_Cameron_Highlands_MY"
"49",18,"B_cristatella_LSUHC_10647_Peneang_Hill_MY"
"50",18,"B_cristatella_LSUHC_11804_Pulau_Pinang_MY"
"51",19,"B_cristatella_LSUHC_3889_Pulau_Tulai_MY"
"52",19,"B_cristatella_LSUHC_4613_Pulau_Tioman_MY"
"53",20,"B_cristatella_LSUHC_5097_Genting_Highlands_MY"
"54",20,"B_cristatella_LSUHC_6661_Ampang_MY"
"55",21,"KU_308082_San_Miguel_Catanduanes_PH"
"56",22,"KU_320285_Lubang_Mindoro_PH"
"57",23,"KU_324432_Negros_Occidental_Negros_PH"
"58",24,"RMB_4159_Rizal_Luzon_PH"
"59",25,"KU_326251_Magdiwang_Sibuyan_PH"
"60",26,"KU_347782_Sorsogon_Luzon_PH"
"61",27,"KU_315337_Odiongan_Tablas_PH"
"62",28,"KU_336048_Sablayan_Mindoro_PH"
"63",29,"KU_308407_Paluan_Mindoro_PH"
"64",30,"KU_334603_Zamboanga_Mindanao_PH"
"65",31,"PNM_1701_Sarangani_Mindanao_PH"
"66",32,"KU_334001_Agusan_del_Norte_Mindanao_PH"
"67",33,"KU_310374_Loreto_Dinagat_PH"
"68",34,"KU_334003_Misamis_Oriental_Mindanao_PH"
"69",35,"KU_334004_Misamis_Oriental_Mindanao_PH"
"70",36,"KU_314845_Zamboanga_Mindanao_PH"
"71",37,"B_celebensis_MVZ_253994_Central_Sulawesi_ID"
"72",38,"B_intermedia_RMBR_836_BORN"
"73",39,"B_jubata_RMB_18182_Java_ID"
"74",40,"B_jubata_RMB_18293_Java_ID"
"75",41,"B_sp_BSI_21_JavaBrt"
"76",42,"B_burmana_CAS_228481_Tanintharyi_MM"
"77",43,"B_rayaensis_LSUHC_12347_Phuket_TH"
"78",44,"B_hayeki_MVZ_270281_North_Sumatra_ID"
"79",45,"B_cristatella_RMB_18138_ID"
"80",46,"B_cristatella_RMB_18356_ID"
"81",47,"B_sp_BSI_53_JavBrtDepok"
"82",48,"B_cristatella_LSUHC_10271_Bukit_Larut_MY"
"83",49,"Aphaniotis_fusca_THC_57874"
"84",50,"Ceratophora_stoddartii_WHT_1682"
"85",51,"Cophotis_dumbara_GQ_502785"
"86",52,"Gonocephalus_chamaeleontinus_LSUHC_3788"
"87",53,"Gonocephalus_semperi_KU_303821_Mindoro_PH"
"88",54,"Gonocephalus_semperi_KU_305748_Cebu_PH"
